business_size,business_time,business_industry,business_structure,business_location,business_job_openings,business_review,plat_customer_support_cnt_t3m,plat_dashboard_cnt_t3m,plat_terminal_flag,plat_trsct_acct_flag,plat_saving_acct_flag,plat_login_cnt_t1m,fin_revenue,fin_profit,fin_assets,fin_liabilities,tran_vol_t1m,tran_vol_t3m,tran_cnt_t1m,tran_cnt_t3m,tran_inflow_t3m,tran_outflow_t3m,credit_score,credit_lines_cnt,credit_current_amt,credit_default_cnt_t12m,credit_inquiry_cnt_t3m,credit_inquiry_cnt_t12m,credit_court_cnt_t12m,loan_amount,loan_late_repayment_cnt,loan_interest_rate,loan_start_date,loan_maturity_date,loan_utilization_amount,loan_last_late_date,default
large,4,services,partnership,urban,9,2,1,0,1,1,1,15,938786,196477,1970723,512930,65946,98252,1000,3291,245957,219629,775,8,556952,0,0,0,1,12592,0,0.13,2024-09-30,2024-10-01,8447,1900-01-01,0
large,6,retail,company,suburban,8,2,0,1,1,1,0,18,853680,198000,5012347,2158335,67443,324360,1000,2857,196666,204531,824,5,237275,0,0,0,0,5674,0,0.15,2024-09-30,2024-10-01,449,1900-01-01,0
small,1,services,sole trader,rural,6,2,0,1,1,1,1,15,46782,10813,307559,36923,6340,32298,0,0,13584,12174,516,6,117450,0,2,2,0,44518,0,0.19,2024-09-30,2024-10-01,3512,1900-01-01,1
medium,13,retail,sole trader,urban,1,3,1,0,1,1,1,3,306940,70924,1953126,943649,47070,279727,500,1436,80179,90684,604,6,509508,0,0,0,0,33471,0,0.15,2024-09-30,2024-10-01,9121,1900-01-01,0
large,1,manufacturing,company,rural,2,5,2,0,1,0,1,10,1048000,213624,4014612,1862632,123017,248455,0,0,296583,345345,754,3,47115,0,2,2,0,42713,0,0.1,2024-09-30,2024-10-01,2776,1900-01-01,0
small,4,manufacturing,partnership,urban,3,2,0,0,0,1,1,5,51235,7737,186853,78147,2694,4413,0,0,14944,13707,512,1,1080,0,2,2,0,24381,1,0.11,2024-09-30,2024-10-01,826,2024-09-30,0
small,5,hospitality,company,urban,2,1,0,0,1,1,0,8,49442,9848,438681,201542,7138,23900,0,0,10410,10492,512,3,238443,0,0,0,0,14806,0,0.19,2024-09-30,2024-10-01,1499,1900-01-01,0
small,11,retail,sole trader,suburban,5,4,2,0,1,1,1,16,43889,7761,351295,91523,3127,12807,100,268,11241,9146,510,2,176806,0,1,1,0,29751,0,0.15,2024-09-30,2024-10-01,1124,1900-01-01,0
medium,17,retail,sole trader,urban,9,1,1,1,1,1,0,11,257762,14736,2040275,370738,41422,148056,500,1649,67073,78416,521,8,333896,0,2,4,0,26328,0,0.12,2024-09-30,2024-10-01,13822,1900-01-01,0
small,17,services,partnership,suburban,9,5,0,1,0,1,0,16,59615,6530,362297,42380,9200,41416,100,531,12642,11071,510,7,132391,0,0,0,0,40191,0,0.19,2024-09-30,2024-10-01,2233,1900-01-01,1
small,4,services,partnership,urban,5,3,0,0,0,1,1,15,44343,3332,351927,84272,3533,5122,0,0,12753,14553,506,6,582360,0,0,0,1,20845,0,0.13,2024-09-30,2024-10-01,6740,1900-01-01,0
small,4,manufacturing,partnership,rural,8,4,0,1,0,1,1,14,44478,4729,320924,119397,5813,8668,0,0,11627,11552,508,9,302049,0,1,2,1,16257,0,0.14,2024-09-30,2024-10-01,3712,1900-01-01,1
small,19,manufacturing,partnership,urban,0,4,0,0,1,1,1,7,53491,10054,504488,221287,6914,28293,0,0,11389,13303,516,7,258566,0,0,0,0,28007,2,0.19,2024-09-30,2024-10-01,4302,2024-09-30,0
medium,16,hospitality,sole trader,suburban,6,3,0,0,0,1,0,12,324108,30517,1306735,604177,51411,210457,0,0,89834,107041,546,1,82397,0,0,0,0,45405,0,0.17,2024-09-30,2024-10-01,2522,1900-01-01,0
medium,18,services,company,rural,7,5,0,2,1,1,0,12,354821,20888,1116082,491176,44834,208865,0,0,99076,104832,530,1,34387,0,0,0,0,27592,1,0.19,2024-09-30,2024-10-01,1023,2024-09-30,1
small,2,retail,company,rural,0,3,0,0,1,1,1,4,57546,7426,156662,39119,2941,16052,100,329,17165,17219,510,4,202116,0,0,0,0,31628,1,0.19,2024-09-30,2024-10-01,30837,2024-09-30,1
small,3,services,sole trader,rural,4,5,0,1,0,1,1,10,49421,8155,203657,53015,7807,14621,0,0,13087,12925,513,3,297363,0,3,6,0,33441,2,0.2,2024-09-30,2024-10-01,3010,2024-09-30,0
large,16,hospitality,sole trader,rural,3,4,0,0,1,1,0,12,1096199,217425,5104421,827603,121285,532543,0,0,323285,327198,862,8,584400,0,1,3,2,32313,0,0.13,2024-09-30,2024-10-01,3635,1900-01-01,0
small,10,manufacturing,sole trader,suburban,5,3,1,0,0,0,0,8,44831,12810,236060,42271,3170,3957,0,0,10581,10036,521,4,391244,0,0,0,0,41828,0,0.12,2024-09-30,2024-10-01,12723,1900-01-01,0
large,13,services,sole trader,suburban,6,4,0,0,0,1,1,2,929196,154906,3521407,532821,93074,506248,1000,1109,251845,280124,757,2,164556,0,1,2,1,19178,0,0.18,2024-09-30,2024-10-01,16781,1900-01-01,0
small,13,hospitality,sole trader,rural,1,3,1,1,1,1,1,5,57944,6590,141752,51830,8434,9727,0,0,14102,16214,509,1,59606,0,2,4,0,31957,0,0.19,2024-09-30,2024-10-01,3409,1900-01-01,0
small,18,manufacturing,sole trader,rural,2,3,1,1,1,1,0,6,47845,6865,224763,45381,3852,10542,100,130,13179,12179,510,9,555822,0,1,2,0,47732,0,0.12,2024-09-30,2024-10-01,756,1900-01-01,0
small,5,manufacturing,company,rural,3,3,0,0,1,1,0,7,56449,15995,518280,141555,4392,12026,100,440,14482,13341,525,6,417312,0,1,1,0,43814,2,0.17,2024-09-30,2024-10-01,37388,2024-09-30,1
small,3,hospitality,company,suburban,4,2,0,0,1,1,1,11,47104,12845,368740,117669,4601,26729,0,0,9997,10980,517,8,610832,0,0,0,1,20184,1,0.14,2024-09-30,2024-10-01,2388,2024-09-30,0
large,11,retail,company,suburban,8,5,1,1,1,1,0,14,1129351,244102,2411696,617794,85590,94448,1000,2452,293546,237611,779,4,170256,0,0,0,1,11229,0,0.12,2024-09-30,2024-10-01,1979,1900-01-01,0
large,5,retail,sole trader,urban,7,5,0,0,1,1,0,13,1096023,61018,2620828,1249292,88038,466792,1000,2862,310602,288994,601,9,439074,0,0,0,0,31085,1,0.17,2024-09-30,2024-10-01,1321,2024-09-30,0
small,16,manufacturing,sole trader,rural,0,5,0,1,1,1,1,3,50466,10579,142963,64373,6832,29212,0,0,13903,12010,517,2,20100,0,0,0,0,28337,0,0.18,2024-09-30,2024-10-01,7769,1900-01-01,0
small,10,hospitality,partnership,suburban,5,4,0,0,1,1,0,10,47398,10083,413029,139711,3122,4958,100,361,9555,11280,515,1,10788,0,1,3,0,33514,0,0.14,2024-09-30,2024-10-01,6605,1900-01-01,0
small,6,retail,partnership,suburban,0,4,0,0,1,1,0,10,52965,9802,506166,120065,5953,32583,100,195,15452,15093,516,4,337096,0,1,1,0,15980,0,0.12,2024-09-30,2024-10-01,2557,1900-01-01,0
small,15,services,company,rural,4,3,1,1,1,1,0,7,47228,13432,136002,51160,4240,7294,0,0,11483,10822,520,9,357327,1,1,1,0,14452,0,0.13,2024-09-30,2024-10-01,3014,1900-01-01,0
small,10,manufacturing,partnership,urban,3,4,3,0,0,1,1,15,42717,10778,281143,95733,6317,21618,0,0,10891,9204,512,7,183862,1,0,0,2,7129,0,0.14,2024-09-30,2024-10-01,353,1900-01-01,0
medium,8,retail,sole trader,rural,3,4,0,0,1,0,0,4,348053,35435,1384419,214108,23807,108234,0,0,90117,88580,553,1,46653,1,0,0,0,14488,0,0.17,2024-09-30,2024-10-01,2391,1900-01-01,0
medium,10,hospitality,partnership,urban,9,4,2,1,1,1,1,11,334634,26986,1472267,719506,20009,108154,500,2862,76159,83778,534,1,11195,0,0,0,0,15459,0,0.16,2024-09-30,2024-10-01,1331,1900-01-01,1
small,19,hospitality,company,suburban,4,4,0,0,1,1,0,7,59493,9041,351874,144419,3814,4092,0,0,15414,16237,512,9,705951,0,0,0,0,5557,0,0.14,2024-09-30,2024-10-01,2362,1900-01-01,0
small,1,manufacturing,company,urban,2,2,2,0,1,1,0,7,46207,10542,129180,52688,6778,37082,0,0,10421,10504,514,4,186000,0,0,0,0,44471,0,0.19,2024-09-30,2024-10-01,692,1900-01-01,1
medium,11,retail,company,suburban,8,3,0,0,1,1,1,12,289740,55592,1644165,598457,14821,41006,0,0,72924,63489,563,9,219024,0,0,0,0,28652,0,0.15,2024-09-30,2024-10-01,7521,1900-01-01,0
small,6,hospitality,partnership,suburban,9,5,0,1,1,1,0,10,41708,2695,145188,55456,3187,9120,0,0,10863,11735,504,7,439117,0,0,0,0,13276,0,0.15,2024-09-30,2024-10-01,705,1900-01-01,1
small,18,manufacturing,partnership,urban,4,3,1,1,1,1,1,9,45745,5970,241356,108123,5738,9004,0,0,9586,10492,507,2,199780,0,0,0,0,26373,0,0.18,2024-09-30,2024-10-01,11648,1900-01-01,0
small,5,retail,company,rural,5,3,0,0,0,1,0,11,41690,4404,220093,87227,6473,25534,100,402,8350,6745,507,6,465654,0,1,1,0,20212,0,0.19,2024-09-30,2024-10-01,966,1900-01-01,0
small,1,hospitality,company,urban,9,4,0,1,0,1,1,12,46905,3528,324815,88397,2224,7696,0,0,13901,12396,506,8,640696,0,3,6,2,26219,0,0.1,2024-09-30,2024-10-01,15600,1900-01-01,0
medium,13,services,partnership,rural,0,5,2,0,1,0,1,9,256528,74861,632467,314254,21145,100317,0,0,75151,76133,586,6,230724,0,0,0,2,27346,0,0.17,2024-09-30,2024-10-01,6893,1900-01-01,0
medium,1,hospitality,company,suburban,2,4,0,1,1,1,0,15,273506,31507,2477024,1169498,39995,218588,0,0,67503,56221,546,9,667512,0,0,0,0,32558,0,0.17,2024-09-30,2024-10-01,1899,1900-01-01,0
small,6,services,partnership,rural,6,2,1,0,1,1,1,10,54642,8615,132488,53277,4365,17939,0,0,15741,14591,513,1,26976,0,1,2,0,28605,0,0.16,2024-09-30,2024-10-01,1263,1900-01-01,0
large,13,services,partnership,suburban,8,5,0,0,0,1,0,11,1034494,190290,6205316,1249308,88126,165267,1000,4698,301188,251535,804,2,44754,1,1,2,0,25102,0,0.12,2024-09-30,2024-10-01,25102,1900-01-01,0
small,15,hospitality,partnership,urban,8,2,0,0,1,1,1,4,45303,11283,212543,74432,6463,11573,0,0,9921,8111,517,6,598488,0,1,3,1,22569,0,0.19,2024-09-30,2024-10-01,3561,1900-01-01,1
small,17,services,sole trader,rural,4,4,0,0,1,1,1,15,40623,6083,348951,115503,3053,11485,0,0,8441,8855,509,1,85045,0,0,0,0,35139,0,0.14,2024-09-30,2024-10-01,9341,1900-01-01,0
medium,16,retail,sole trader,suburban,6,2,0,1,1,1,1,11,277898,59365,1461002,275725,21077,35779,0,0,72964,61810,579,5,301030,0,0,0,0,8357,0,0.2,2024-09-30,2024-10-01,494,1900-01-01,1
medium,19,services,partnership,suburban,4,2,2,1,1,0,1,12,251295,53302,1381960,311849,12401,35354,0,0,54576,49673,567,2,40456,0,0,0,0,48275,0,0.18,2024-09-30,2024-10-01,7603,1900-01-01,1
small,11,retail,company,rural,6,5,1,0,1,1,1,7,53858,11261,410949,178209,6423,15845,0,0,15049,17612,514,2,191006,0,0,0,0,26316,0,0.13,2024-09-30,2024-10-01,2807,1900-01-01,0
small,8,services,sole trader,urban,1,5,1,1,0,1,1,12,44374,2347,376358,184090,3326,15353,0,0,12179,12947,503,4,368016,0,0,0,0,16918,1,0.2,2024-09-30,2024-10-01,6358,2024-09-30,1
medium,1,retail,partnership,rural,0,3,0,2,0,0,0,8,266478,28134,2478489,379399,37396,182372,0,0,78446,77548,543,1,51339,0,1,3,1,49815,0,0.14,2024-09-30,2024-10-01,7908,1900-01-01,0
medium,17,manufacturing,sole trader,urban,8,4,0,1,1,1,1,5,300767,63609,1390358,287028,31918,134120,0,0,73485,59330,593,9,734976,0,1,1,0,43434,0,0.11,2024-09-30,2024-10-01,17989,1900-01-01,0
large,9,retail,company,urban,4,2,2,1,1,1,0,13,912856,132753,5536700,1336227,69598,361068,1000,4746,189732,196519,699,2,3168,0,2,2,0,2904,0,0.11,2024-09-30,2024-10-01,820,1900-01-01,0
small,1,manufacturing,partnership,rural,2,3,0,0,1,1,1,11,42004,8540,335227,77864,5647,18696,100,136,10688,10339,513,2,186350,0,0,0,0,38909,2,0.18,2024-09-30,2024-10-01,5836,2024-09-30,0
small,9,services,company,suburban,6,3,0,1,1,1,0,10,52807,10788,443763,179834,7604,19808,0,0,12344,9960,513,2,103306,0,3,9,1,16321,0,0.11,2024-09-30,2024-10-01,3228,1900-01-01,0
small,17,retail,partnership,urban,2,3,0,0,1,1,0,16,50078,13518,398123,161878,2552,9746,100,343,12932,15072,521,8,430776,0,0,0,0,49058,0,0.2,2024-09-30,2024-10-01,10016,1900-01-01,1
small,13,manufacturing,company,urban,6,3,2,1,0,1,1,8,45450,10195,140330,34357,2781,8087,0,0,11319,9175,515,6,135972,0,0,0,0,34724,2,0.19,2024-09-30,2024-10-01,10736,2024-09-30,1
medium,19,manufacturing,company,rural,4,4,0,3,1,1,0,8,303281,59621,1516509,180099,22551,48894,0,0,67508,73463,574,4,264464,1,1,3,0,34827,0,0.15,2024-09-30,2024-10-01,14395,1900-01-01,0
small,12,manufacturing,partnership,rural,8,5,3,1,0,0,1,9,54975,7272,261694,98577,6512,22637,0,0,11511,12303,512,5,213600,0,2,2,0,36060,0,0.18,2024-09-30,2024-10-01,7212,1900-01-01,1
medium,5,manufacturing,partnership,urban,4,5,0,1,1,1,1,13,319513,47087,3038920,335775,48398,157579,0,0,66575,68130,559,8,19256,0,1,2,0,18689,2,0.11,2024-09-30,2024-10-01,12428,2024-09-30,0
small,8,hospitality,sole trader,rural,6,5,0,1,1,1,1,4,48260,11955,333331,156968,4367,7900,100,196,10296,9444,515,8,396608,0,2,2,1,13282,0,0.16,2024-09-30,2024-10-01,3237,1900-01-01,0
small,6,hospitality,partnership,urban,8,2,0,1,0,1,1,9,49350,12693,398900,193206,8085,33782,100,116,11496,10783,520,3,172608,0,0,0,0,42613,0,0.13,2024-09-30,2024-10-01,22265,1900-01-01,0
medium,19,hospitality,company,urban,9,4,0,1,1,1,1,11,278138,79317,979469,467904,30302,42152,0,0,78399,70423,606,7,479997,0,1,3,0,24197,0,0.13,2024-09-30,2024-10-01,3993,1900-01-01,0
small,8,manufacturing,partnership,rural,6,1,0,1,0,0,0,3,49483,5768,413378,108458,3268,13762,100,109,13473,14411,508,8,519952,0,3,6,0,12324,0,0.1,2024-09-30,2024-10-01,12324,1900-01-01,0
small,10,retail,sole trader,urban,7,2,0,1,1,1,1,4,48103,13996,159503,44351,4416,4602,100,256,13726,15674,521,9,825984,0,0,0,0,27169,0,0.19,2024-09-30,2024-10-01,16505,1900-01-01,1
small,9,manufacturing,partnership,rural,8,2,0,1,1,1,1,15,42193,2120,253301,103482,4100,19403,0,0,8617,10049,503,1,1585,0,0,0,0,14245,0,0.17,2024-09-30,2024-10-01,2445,1900-01-01,1
small,5,manufacturing,company,suburban,0,4,1,1,1,1,0,12,43021,11198,216437,51536,4013,21236,100,557,11402,12072,518,7,316141,0,1,2,0,10711,1,0.16,2024-09-30,2024-10-01,1620,2024-09-30,0
large,15,manufacturing,company,suburban,9,3,0,1,0,1,0,15,932703,116630,7521440,801269,104172,336432,0,0,189593,219903,647,6,88014,0,0,0,0,39793,0,0.14,2024-09-30,2024-10-01,39793,1900-01-01,0
small,19,retail,company,suburban,6,2,1,0,1,1,0,14,47008,12112,112137,29607,4353,19464,0,0,11409,13350,517,3,27462,0,0,0,0,1822,1,0.14,2024-09-30,2024-10-01,835,2024-09-30,0
medium,1,retail,company,urban,1,2,2,1,1,1,1,17,342592,54682,2030747,669866,56076,119792,500,1217,82273,70399,575,8,55896,0,0,0,0,48403,0,0.17,2024-09-30,2024-10-01,11617,1900-01-01,0
medium,9,retail,sole trader,urban,7,2,0,0,0,1,0,10,323344,42298,1263525,169128,40124,97364,500,614,90069,92768,551,4,332876,1,1,1,0,30593,0,0.15,2024-09-30,2024-10-01,8226,1900-01-01,0
small,4,services,sole trader,rural,2,2,0,1,0,0,0,9,43024,11947,282373,30644,6325,15712,100,189,10834,10924,518,5,487415,1,0,0,1,29943,0,0.16,2024-09-30,2024-10-01,3743,1900-01-01,1
small,5,retail,company,urban,4,1,0,1,1,1,1,6,56231,11072,316557,129158,5180,6208,100,230,16719,17360,517,3,62625,0,0,0,1,19902,0,0.19,2024-09-30,2024-10-01,6717,1900-01-01,1
medium,15,services,sole trader,suburban,0,3,0,1,0,1,1,13,262292,16459,724929,172623,21824,64310,0,0,76339,88778,522,1,37335,0,0,0,1,8524,0,0.14,2024-09-30,2024-10-01,1179,1900-01-01,0
medium,19,manufacturing,sole trader,urban,3,2,0,0,1,0,1,11,256678,37871,2339058,568373,16161,25612,0,0,54945,62736,552,7,536368,0,0,0,0,12779,0,0.2,2024-09-30,2024-10-01,895,1900-01-01,1
medium,17,manufacturing,partnership,urban,5,3,1,0,1,1,1,8,343660,80443,1797010,255556,19143,47508,500,1559,87663,87927,630,8,227856,0,1,3,0,4690,0,0.1,2024-09-30,2024-10-01,258,1900-01-01,0
medium,15,manufacturing,sole trader,urban,5,4,0,0,1,1,0,12,313744,20056,1826370,666278,51134,75810,0,0,62867,61377,526,1,41829,0,1,1,0,16111,1,0.2,2024-09-30,2024-10-01,4746,2024-09-30,0
small,3,services,sole trader,suburban,5,2,0,0,1,1,0,16,59645,6058,249595,80055,2507,6451,0,0,14927,17631,509,8,584272,0,2,2,0,21811,1,0.11,2024-09-30,2024-10-01,8179,2024-09-30,0
small,9,retail,sole trader,rural,1,2,1,0,1,1,0,5,54126,12355,418665,70329,2265,3129,0,0,16159,17820,516,1,33359,0,1,2,0,8786,1,0.16,2024-09-30,2024-10-01,1494,2024-09-30,1
small,18,retail,sole trader,rural,0,1,0,3,1,1,1,15,53050,9236,249762,41343,8178,19858,100,110,10689,10701,514,5,387320,0,0,0,0,38071,0,0.12,2024-09-30,2024-10-01,4854,1900-01-01,0
small,10,manufacturing,company,urban,5,1,1,0,1,1,1,15,57576,8955,544050,189507,6004,24171,0,0,15635,15418,515,8,527904,0,0,0,0,14120,0,0.17,2024-09-30,2024-10-01,3624,1900-01-01,0
small,11,retail,sole trader,urban,3,3,1,1,1,1,1,14,45582,12373,395195,111244,3278,14099,100,300,11642,10370,519,5,43250,0,0,0,0,14132,0,0.19,2024-09-30,2024-10-01,2544,1900-01-01,0
small,5,retail,partnership,urban,1,3,0,0,1,1,0,10,45402,3328,153871,35340,5736,11687,100,103,13158,10961,504,3,12693,0,2,2,0,32647,0,0.13,2024-09-30,2024-10-01,6257,1900-01-01,0
large,2,manufacturing,company,urban,8,5,1,0,0,0,0,4,1130768,305991,10743931,3419037,155070,440186,0,0,228420,217851,860,5,417735,0,0,0,0,17168,0,0.17,2024-09-30,2024-10-01,3567,1900-01-01,0
small,11,manufacturing,company,rural,2,4,1,1,1,1,0,6,40077,6894,366112,100030,3004,6750,0,0,10319,9399,509,5,428355,0,2,4,0,30820,0,0.17,2024-09-30,2024-10-01,30820,1900-01-01,0
medium,3,services,company,rural,2,2,0,0,0,1,0,8,278034,64875,2178056,558861,28431,69694,500,1833,81809,77667,574,8,561528,0,0,0,0,30416,0,0.13,2024-09-30,2024-10-01,3270,1900-01-01,0
medium,5,manufacturing,company,rural,6,2,0,0,0,1,1,6,346877,90805,2176221,290470,35027,88086,0,0,88532,93042,641,7,78680,0,0,0,0,32061,0,0.11,2024-09-30,2024-10-01,7793,1900-01-01,0
medium,2,retail,partnership,suburban,1,5,0,1,0,1,1,17,329057,67101,2320936,301662,37493,137051,500,663,93074,77676,603,1,23767,0,0,0,0,9495,0,0.15,2024-09-30,2024-10-01,1495,1900-01-01,0
small,15,hospitality,sole trader,suburban,2,5,0,0,1,1,1,10,59630,5787,317723,108320,6843,31097,100,256,17337,16208,508,4,290800,0,0,0,0,1731,0,0.15,2024-09-30,2024-10-01,325,1900-01-01,0
small,5,hospitality,partnership,suburban,5,4,2,0,0,1,0,8,41071,7683,268641,43990,5506,12746,100,423,11413,13518,511,6,353316,0,2,4,0,34930,0,0.2,2024-09-30,2024-10-01,2212,1900-01-01,1
small,7,services,sole trader,urban,8,4,0,0,1,1,0,10,43766,4106,144080,36744,3792,20016,100,443,10929,8752,505,4,123680,0,0,0,0,1908,0,0.17,2024-09-30,2024-10-01,229,1900-01-01,1
small,18,manufacturing,partnership,rural,5,3,0,0,1,1,0,6,46631,4918,262038,58310,3868,12168,100,537,10457,9286,507,4,130700,0,3,3,0,39865,0,0.1,2024-09-30,2024-10-01,13787,1900-01-01,0
small,2,manufacturing,company,rural,4,3,0,0,1,0,0,4,45925,5395,392197,117910,2147,3090,0,0,11223,12545,506,1,80024,1,3,9,0,44732,0,0.14,2024-09-30,2024-10-01,1006,1900-01-01,0
small,13,manufacturing,partnership,suburban,5,4,1,1,1,0,0,16,45863,13574,229694,42087,3440,5667,0,0,10646,11985,516,9,30645,0,0,0,0,24374,0,0.13,2024-09-30,2024-10-01,9953,1900-01-01,0
large,7,hospitality,company,rural,7,1,0,1,1,1,0,6,1165095,198005,9499391,1462130,118127,221610,0,0,315244,357641,790,7,58310,0,0,0,1,20770,0,0.11,2024-09-30,2024-10-01,900,1900-01-01,0
medium,7,hospitality,company,rural,0,4,0,1,1,0,1,10,251544,16983,2205083,1086483,16422,32858,500,2539,74422,70406,523,9,453636,0,2,6,0,30232,2,0.19,2024-09-30,2024-10-01,4711,2024-09-30,0
small,11,hospitality,partnership,rural,1,3,0,1,1,1,1,14,51349,4092,358615,52520,2339,8628,0,0,12045,12240,505,3,135267,0,1,2,0,20407,0,0.17,2024-09-30,2024-10-01,5527,1900-01-01,0
small,2,retail,company,rural,5,4,0,0,1,1,0,12,53979,14030,417046,144532,2585,12351,0,0,11784,12667,523,6,138084,0,0,0,0,29849,0,0.11,2024-09-30,2024-10-01,591,1900-01-01,0
large,5,manufacturing,company,suburban,6,5,0,0,1,1,1,7,973019,256921,4227115,521958,117143,645544,0,0,254780,225429,905,3,88716,0,0,0,2,28424,0,0.16,2024-09-30,2024-10-01,3411,1900-01-01,0
medium,11,services,company,urban,5,4,1,0,0,1,0,8,273741,64449,1206896,517077,25397,49054,500,2768,61734,65626,585,2,10130,0,1,1,0,27681,0,0.17,2024-09-30,2024-10-01,4521,1900-01-01,1
medium,1,manufacturing,sole trader,urban,5,4,2,1,0,1,1,9,302894,51816,2534969,637453,20623,57356,500,1947,90438,93332,580,6,131754,0,0,0,0,20641,0,0.17,2024-09-30,2024-10-01,602,1900-01-01,0
large,10,hospitality,company,urban,2,4,0,1,0,1,1,15,1130454,131298,9546029,1538620,110263,183230,1000,1571,299473,346658,707,1,95563,0,1,2,1,49674,1,0.16,2024-09-30,2024-10-01,11591,2024-09-30,0
medium,9,hospitality,sole trader,suburban,6,2,0,1,1,1,0,7,293202,24575,2318732,373472,12658,40687,500,1489,66593,54539,537,8,15128,0,0,0,1,21286,0,0.11,2024-09-30,2024-10-01,1863,1900-01-01,0
medium,3,hospitality,company,suburban,1,2,0,2,0,1,0,18,242870,13315,1827333,560668,24568,73930,500,2015,51964,59380,515,3,52395,0,0,0,1,44231,0,0.12,2024-09-30,2024-10-01,16918,1900-01-01,0
small,3,hospitality,partnership,urban,5,2,1,1,1,1,0,11,42802,6572,129563,56508,4429,4975,0,0,11411,12126,508,3,94095,0,1,2,0,36649,0,0.16,2024-09-30,2024-10-01,4479,1900-01-01,1
small,17,services,partnership,suburban,6,3,1,0,1,1,0,6,42386,8519,282873,76591,5595,32784,100,147,9644,9511,514,3,205383,0,0,0,0,20159,0,0.11,2024-09-30,2024-10-01,3528,1900-01-01,0
small,5,services,sole trader,suburban,7,3,0,0,1,1,0,7,40110,10337,117942,39822,2035,7191,100,150,8429,10056,516,4,298832,1,0,0,1,35144,0,0.11,2024-09-30,2024-10-01,9123,1900-01-01,0
medium,1,hospitality,sole trader,urban,3,3,0,0,1,1,1,14,274272,77324,1698068,721326,18166,76922,0,0,76295,66720,602,6,16800,0,0,0,0,6772,0,0.12,2024-09-30,2024-10-01,711,1900-01-01,0
small,18,hospitality,sole trader,rural,6,1,0,0,1,0,1,14,49561,14862,329969,46832,6083,19717,0,0,12535,13423,520,5,66245,0,0,0,0,40456,1,0.2,2024-09-30,2024-10-01,7080,2024-09-30,0
small,15,hospitality,sole trader,rural,2,2,1,2,0,1,1,18,55619,6628,417197,203385,8601,37037,0,0,11434,12200,508,9,145512,0,0,0,0,41656,0,0.17,2024-09-30,2024-10-01,4478,1900-01-01,0
medium,5,services,sole trader,suburban,6,2,1,0,0,1,1,11,290511,72801,2382510,439448,42890,182997,0,0,66225,68348,597,1,67630,1,0,0,1,18491,0,0.15,2024-09-30,2024-10-01,13807,1900-01-01,0
small,18,manufacturing,company,rural,5,3,0,2,0,1,1,11,47681,6612,390024,161357,4327,7035,0,0,10950,10268,510,1,26017,0,0,0,0,49526,0,0.19,2024-09-30,2024-10-01,9658,1900-01-01,0
medium,15,retail,partnership,suburban,4,2,0,1,1,1,0,6,285696,71588,1078625,153569,25360,139562,0,0,67032,78616,600,6,315246,0,1,2,0,42462,2,0.17,2024-09-30,2024-10-01,5473,2024-09-30,0
small,3,manufacturing,sole trader,urban,0,5,0,2,1,0,0,3,48810,11516,356657,46615,4334,15560,100,232,12142,11576,516,9,264465,0,1,3,2,1082,0,0.12,2024-09-30,2024-10-01,261,1900-01-01,0
small,8,services,sole trader,suburban,6,3,0,1,0,0,1,7,40391,8117,242245,48876,6100,32806,100,460,8726,9547,511,1,72351,0,0,0,0,12310,0,0.16,2024-09-30,2024-10-01,1108,1900-01-01,1
small,16,manufacturing,sole trader,urban,2,4,0,0,1,1,1,11,44322,6372,186620,22512,4931,26873,0,0,10047,11490,508,5,224340,1,0,0,0,47229,1,0.11,2024-09-30,2024-10-01,876,2024-09-30,0
small,4,hospitality,partnership,urban,2,3,0,0,0,1,0,2,42360,4616,260101,97449,4617,20112,0,0,10161,9698,508,5,215450,0,1,3,0,17956,0,0.12,2024-09-30,2024-10-01,6344,1900-01-01,0
small,4,services,partnership,suburban,8,2,2,1,1,1,1,8,56524,11441,272222,127461,8130,13018,0,0,12702,11017,517,8,399952,0,0,0,0,1112,0,0.18,2024-09-30,2024-10-01,38,1900-01-01,0
small,5,services,company,rural,4,4,0,0,0,1,0,6,55007,3860,471201,47373,4138,14385,100,520,11820,9564,506,5,415410,0,1,2,1,20816,0,0.11,2024-09-30,2024-10-01,1735,1900-01-01,0
medium,5,hospitality,company,suburban,3,3,0,1,1,1,0,13,358128,25938,800491,228189,32657,97886,0,0,73200,85170,529,9,141399,0,0,0,0,29017,0,0.19,2024-09-30,2024-10-01,11256,1900-01-01,1
large,12,hospitality,partnership,rural,8,2,0,0,1,1,0,13,1048509,121666,7358359,2657785,148073,568380,1000,3125,275239,328315,679,3,220623,0,1,1,0,38801,2,0.16,2024-09-30,2024-10-01,4583,2024-09-30,0
small,1,manufacturing,company,suburban,7,4,0,0,0,0,0,2,59900,4923,423906,191372,3329,4055,100,297,17362,14806,507,5,401020,0,0,0,2,44377,0,0.13,2024-09-30,2024-10-01,15273,1900-01-01,0
small,9,retail,sole trader,suburban,1,4,0,1,0,1,0,12,42906,3774,287622,85419,1989,11864,100,384,9673,10166,505,4,313724,0,0,0,0,38591,0,0.18,2024-09-30,2024-10-01,9519,1900-01-01,1
medium,13,hospitality,partnership,rural,4,1,0,0,1,1,0,11,347462,29244,2999059,1326020,53800,159328,0,0,84427,79908,548,1,45578,0,1,3,0,26235,0,0.14,2024-09-30,2024-10-01,3119,1900-01-01,1
